Well,Fluor,Sample,Cq,SQ,Target
G12,FAM,STD_1000,29.78571272,1000,SVC
H01,FAM,STD_1000,29.69640248,1000,SVC
H02,FAM,STD_1000,29.65961178,1000,SVC
H03,FAM,STD_1000,29.55312293,1000,SVC
H04,FAM,STD_1000,29.54759043,1000,SVC
H05,FAM,STD_1000,29.4994123,1000,SVC
H06,FAM,STD_1000,29.61215795,1000,SVC
H07,FAM,STD_1000,29.52060641,1000,SVC
H08,FAM,STD_1000,29.5249564,1000,SVC
H09,FAM,STD_1000,29.66783864,1000,SVC
H10,FAM,STD_1000,29.83450218,1000,SVC
H11,FAM,STD_1000,29.65393048,1000,SVC
H12,FAM,STD_1000,30.03200698,1000,SVC
A01,HEX,STD_1000,29.97923588,1000,BHC
A02,HEX,STD_1000,30.00157593,1000,BHC
A03,HEX,STD_1000,29.86649251,1000,BHC
A04,HEX,STD_1000,29.88474262,1000,BHC
A05,HEX,STD_1000,30.07392702,1000,BHC
A06,HEX,STD_1000,30.03653641,1000,BHC
A07,HEX,STD_1000,30.01840799,1000,BHC
A08,HEX,STD_1000,30.13124523,1000,BHC
A09,HEX,STD_1000,30.18521912,1000,BHC
A10,HEX,STD_1000,30.27467213,1000,BHC
A11,HEX,STD_1000,30.29775045,1000,BHC
A12,HEX,STD_1000,30.25358524,1000,BHC
B01,HEX,STD_1000,30.0774716,1000,BHC
B02,HEX,STD_1000,29.99697075,1000,BHC
B03,HEX,STD_1000,29.86339101,1000,BHC
B04,HEX,STD_1000,29.91490039,1000,BHC
B05,HEX,STD_1000,29.890486,1000,BHC
B06,HEX,STD_1000,30.03338301,1000,BHC
B07,HEX,STD_1000,29.88226291,1000,BHC
B08,HEX,STD_1000,29.93090849,1000,BHC
B09,HEX,STD_1000,30.04972745,1000,BHC
B10,HEX,STD_1000,30.0607587,1000,BHC
B11,HEX,STD_1000,30.06548037,1000,BHC
B12,HEX,STD_1000,30.227948,1000,BHC
C01,HEX,STD_1000,30.00776077,1000,BHC
C02,HEX,STD_1000,29.94993902,1000,BHC
C03,HEX,STD_1000,29.83325381,1000,BHC
